Index,AI0(V)
888,-0.1285
889,-0.12774
890,-0.1261
891,-0.12717
892,-0.12591
893,-0.12742
894,-0.12484
895,-0.12648
896,-0.12421
897,-0.12667
898,-0.12433
899,-0.12654
900,-0.12288
901,-0.13026
902,-0.1256
903,-0.12623
904,-0.12755
905,-0.129
906,-0.12364
907,-0.12597
908,-0.1285
909,-0.1244
910,-0.12023
911,-0.12282
912,-0.12705
913,-0.13253
914,-0.12736
915,-0.12736
916,-0.12263
917,-0.12118
918,-0.12465
919,-0.12149
920,-0.12452
921,-0.12541
922,-0.12806
923,-0.12742
924,-0.12389
925,-0.12698
926,-0.12288
927,-0.12799
928,-0.1237
929,-0.12547
930,-0.12742
931,-0.1319
932,-0.12377
933,-0.12465
934,-0.12806
935,-0.12724
936,-0.12642
937,-0.12629
938,-0.12534
939,-0.12578
940,-0.1249
941,-0.12843
942,-0.12711
943,-0.12957
944,-0.12995
945,-0.12856
946,-0.12604
947,-0.1237
948,-0.12768
949,-0.12572
950,-0.13241
951,-0.12484
952,-0.12717
953,-0.12698
954,-0.12421
955,-0.12635
956,-0.13304
957,-0.12269
958,-0.12484
959,-0.12881
960,-0.12496
961,-0.129
962,-0.12976
963,-0.12522
964,-0.12156
965,-0.12484
966,-0.12288
967,-0.12623
968,-0.12509
969,-0.13266
970,-0.13026
971,-0.12635
972,-0.12522
973,-0.12421
974,-0.12219
975,-0.12742
976,-0.13014
977,-0.1249
978,-0.12635
979,-0.12806
980,-0.1285
981,-0.12326
982,-0.12667
983,-0.12465
984,-0.12465
985,-0.12604
986,-0.12459
987,-0.12686
988,-0.12528
989,-0.12528
990,-0.12711
991,-0.12263
992,-0.12566
993,-0.12408
994,-0.1266
995,-0.1232
996,-0.13399
997,-0.12711
998,-0.12553
999,-0.12566
1000,-0.13064
1001,-0.12692
1002,-0.1256
1003,-0.12465
1004,-0.12705
1005,-0.12408
1006,-0.12648
1007,-0.12496
1008,-0.12578
1009,-0.12749
1010,-0.12446
1011,-0.12105
1012,-0.12049
1013,-0.12654
1014,-0.12616
1015,-0.12345
1016,-0.1266
1017,-0.12642
1018,-0.12244
1019,-0.13001
1020,-0.11998
1021,-0.12288
1022,-0.12566
1023,-0.12194
1024,-0.12585
1025,-0.1249
1026,-0.12875
1027,-0.12168
1028,-0.1237
1029,-0.12541
1030,-0.11847
1031,-0.1244
1032,-0.12389
1033,-0.12358
1034,-0.1266
1035,-0.12452
1036,-0.13007
1037,-0.12806
1038,-0.12724
1039,-0.129
1040,-0.12888
1041,-0.12238
1042,-0.12383
1043,-0.12282
1044,-0.12433
1045,-0.12982
1046,-0.12907
1047,-0.12717
1048,-0.12597
1049,-0.12913
1050,-0.12515
1051,-0.12824
1052,-0.12824
1053,-0.12686
1054,-0.13108
1055,-0.12925
1056,-0.12749
1057,-0.12635
1058,-0.12824
1059,-0.12755
1060,-0.12642
1061,-0.12585
1062,-0.12427
1063,-0.12686
1064,-0.12856
1065,-0.122
1066,-0.13228
1067,-0.1249
1068,-0.11992
1069,-0.12011
1070,-0.12162
1071,-0.11985
1072,-0.12856
1073,-0.12364
1074,-0.12496
1075,-0.12131
1076,-0.12692
1077,-0.12749
1078,-0.12944
1079,-0.12326
1080,-0.12395
1081,-0.12269
1082,-0.1273
1083,-0.12383
1084,-0.12402
1085,-0.12421
1086,-0.1232
1087,-0.12717
1088,-0.12963
1089,-0.12717
1090,-0.12591
1091,-0.12452
1092,-0.12711
1093,-0.12667
1094,-0.12465
1095,-0.12307
1096,-0.12793
1097,-0.12812
1098,-0.12995
1099,-0.12787
1100,-0.12679
1101,-0.12282
1102,-0.12238
1103,-0.12591
1104,-0.12951
1105,-0.12566
1106,-0.12862
1107,-0.12856
1108,-0.13291
1109,-0.12642
1110,-0.12711
1111,-0.12351
1112,-0.12383
1113,-0.11866
1114,-0.1232
1115,-0.1225
1116,-0.12818
1117,-0.1208
1118,-0.12919
1119,-0.12534
1120,-0.12263
1121,-0.12698
1122,-0.12332
1123,-0.12812
1124,-0.12541
1125,-0.1326
1126,-0.12711
1127,-0.12585
1128,-0.12478
1129,-0.13033
1130,-0.12427
1131,-0.12162
1132,-0.12452
1133,-0.12364
1134,-0.13178
1135,-0.12137
1136,-0.12768
1137,-0.12585
1138,-0.12642
1139,-0.12698
1140,-0.12995
1141,-0.12471
1142,-0.1285
1143,-0.12837
1144,-0.12276
1145,-0.12421
1146,-0.129
1147,-0.12131
1148,-0.12667
1149,-0.12982
1150,-0.12869
1151,-0.12572
1152,-0.13026
1153,-0.12168
1154,-0.12522
1155,-0.12679
1156,-0.12547
1157,-0.12585
1158,-0.12717
1159,-0.12187
1160,-0.12824
1161,-0.12452
1162,-0.12364
1163,-0.1249
1164,-0.12389
1165,-0.12957
1166,-0.12724
1167,-0.12036
1168,-0.12774
1169,-0.12749
1170,-0.12377
1171,-0.12604
1172,-0.12547
